27-Sep-2017-04:22:23.343 | FAILED | admin | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:02:35.254 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:03:43.303 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:06:10.630 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:08:30.044 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:10:20.914 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:14:29.948 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:22:00.145 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:25:05.411 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:44:10.926 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:45:16.740 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:49:41.687 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-12:36:48.154 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-12:48:54.364 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-12:49:30.896 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-12:50:34.175 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-12:50:38.879 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-12:52:00.652 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-12:52:51.941 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-13:17:41.024 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-13:22:11.061 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-13:23:16.637 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
22-Dec-2017-02:09:26.414 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-19:42:46.860 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-19:46:39.119 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-19:56:41.145 | SUCCESS | admin |  | / | http | 10.1.1.9 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-19:57:10.419 | SUCCESS | admin |  | / | http | 10.1.1.8 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-19:58:56.717 | SUCCESS | admin |  | / | http | 10.1.1.8 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-20:13:45.570 | FAILED | Admin | Invalid Username or Password | / | http | 10.1.1.4 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-20:13:53.312 | SUCCESS | admin |  | / | http | 10.1.1.4 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-20:18:30.761 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-20:22:32.431 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-20:29:20.172 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-20:30:31.835 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-21:44:11.386 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
16-Nov-2018-21:48:09.214 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
